0	0	0	0	0	0
62	0	0	29	0	1
123	0	0	102	0	1
185	0	0	171	0	2
254	0	0	250	0	3
308	0	0	324	0	8
386	0	0	448	0	16
451	0	0	570	0	20
482	0	0	643	0	22
513	0	0	718	0	23
544	0	0	801	0	24
575	0	0	893	0	25
606	0	0	982	0	25
637	0	0	1023	0	20
668	0	0	1023	0	20
800	0	0	1023	0	5
924	0	0	1023	0	4
0	62	0	0	20	0
62	62	0	19	17	0
123	62	0	97	4	0
185	62	0	171	3	1
254	62	0	259	0	1
308	62	0	334	0	2
386	62	0	457	0	7
451	62	0	584	0	15
482	62	0	655	0	17
513	62	0	731	0	19
544	62	0	814	0	21
575	62	0	909	0	22
606	62	0	994	0	22
637	62	0	1023	0	18
668	62	0	1023	0	19
800	62	0	1023	0	5
924	62	0	1023	0	4
0	123	0	0	83	3
62	123	0	1	80	0
123	123	0	79	77	0
185	123	0	158	65	0
254	123	0	251	49	0
308	123	0	335	33	0
386	123	0	475	8	1
451	123	0	623	0	1
482	123	0	696	0	1
513	123	0	777	0	2
544	123	0	860	0	3
575	123	0	955	0	8
606	123	0	1023	0	10
637	123	0	1023	0	12
668	123	0	1023	0	13
800	123	0	1023	0	5
924	123	0	1023	0	3
0	185	0	0	142	29
62	185	0	0	140	6
123	185	0	45	136	0
185	185	0	136	131	0
254	185	0	232	117	0
308	185	0	319	104	0
386	185	0	464	84	0
451	185	0	613	66	0
482	185	0	695	57	0
513	185	0	788	48	1
544	185	0	887	37	1
575	185	0	984	27	1
606	185	0	1023	15	1
637	185	0	1023	2	1
668	185	0	1023	0	1
800	185	0	1023	0	3
924	185	0	1023	0	2
0	254	0	0	209	58
62	254	0	0	208	45
123	254	0	0	204	0
185	254	0	99	201	0
254	254	0	200	192	0
308	254	0	290	182	0
386	254	0	442	163	0
451	254	0	593	145	0
482	254	0	675	137	0
513	254	0	770	128	0
544	254	0	868	118	0
575	254	0	971	108	0
606	254	0	1023	99	0
637	254	0	1023	89	0
668	254	0	1023	79	1
800	254	0	1023	17	1
924	254	0	1023	20	2
0	308	0	0	270	58
62	308	0	0	269	53
123	308	0	0	267	13
185	308	0	63	265	0
254	308	0	169	259	0
308	308	0	263	251	0
386	308	0	417	231	0
451	308	0	570	212	0
482	308	0	652	202	0
513	308	0	747	194	0
544	308	0	847	184	0
575	308	0	952	174	0
606	308	0	1023	163	0
637	308	0	1023	152	0
668	308	0	1023	141	0
800	308	0	1023	84	1
924	308	0	1023	70	2
0	386	0	0	369	69
62	386	0	0	369	61
123	386	0	0	369	38
185	386	0	1	371	0
254	386	0	126	367	0
308	386	0	213	361	0
386	386	0	365	348	0
451	386	0	520	332	0
482	386	0	606	322	0
513	386	0	703	313	0
544	386	0	800	301	0
575	386	0	913	289	0
606	386	0	1020	276	0
637	386	0	1023	262	0
668	386	0	1023	249	0
800	386	0	1023	173	0
924	386	0	1023	131	1
0	451	0	0	470	79
62	451	0	0	470	73
123	451	0	0	472	50
185	451	0	0	478	7
254	451	0	86	478	0
308	451	0	175	473	0
386	451	0	322	462	0
451	451	0	476	450	0
482	451	0	559	440	0
513	451	0	647	430	0
544	451	0	750	420	0
575	451	0	861	408	0
606	451	0	975	392	0
637	451	0	1018	376	0
668	451	0	1020	361	0
800	451	0	1023	268	0
924	451	0	1023	191	1
0	482	0	0	526	83
62	482	0	0	526	78
123	482	0	0	528	58
185	482	0	0	534	19
254	482	0	65	536	0
308	482	0	158	534	0
386	482	0	301	524	0
451	482	0	451	511	0
482	482	0	532	502	0
513	482	0	623	491	0
544	482	0	724	483	0
575	482	0	831	468	0
606	482	0	948	453	0
637	482	0	1009	437	0
668	482	0	1014	421	0
800	482	0	1023	320	0
924	482	0	1023	224	0
0	513	0	0	583	85
62	513	0	0	583	82
123	513	0	0	586	64
185	513	0	0	592	29
254	513	0	43	598	0
308	513	0	140	596	0
386	513	0	281	587	0
451	513	0	426	575	0
482	513	0	507	569	0
513	513	0	598	559	0
544	513	0	695	549	0
575	513	0	798	537	0
606	513	0	917	522	0
637	513	0	999	505	0
668	513	0	1007	486	0
800	513	0	1023	381	0
924	513	0	1023	260	0
0	544	0	0	647	91
62	544	0	0	647	86
123	544	0	0	652	70
185	544	0	0	658	38
254	544	0	15	667	0
308	544	0	121	663	0
386	544	0	262	656	0
451	544	0	402	644	0
482	544	0	482	639	0
513	544	0	566	630	0
544	544	0	662	618	0
575	544	0	765	607	0
606	544	0	883	593	0
637	544	0	987	578	0
668	544	0	998	559	0
800	544	0	1023	447	0
924	544	0	1023	307	0
0	575	0	0	715	95
62	575	0	0	715	91
123	575	0	0	720	77
185	575	0	0	727	44
254	575	0	0	738	0
308	575	0	101	736	0
386	575	0	239	727	0
451	575	0	377	719	0
482	575	0	451	711	0
513	575	0	535	704	0
544	575	0	632	696	0
575	575	0	735	684	0
606	575	0	849	675	0
637	575	0	973	659	0
668	575	0	988	636	0
800	575	0	1023	520	0
924	575	0	1023	362	0
0	606	0	0	783	101
62	606	0	0	785	96
123	606	0	0	790	80
185	606	0	0	798	53
254	606	0	0	811	2
308	606	0	77	814	0
386	606	0	217	806	0
451	606	0	351	798	0
482	606	0	424	790	0
513	606	0	506	784	0
544	606	0	599	778	0
575	606	0	704	771	0
606	606	0	818	760	0
637	606	0	949	749	0
668	606	0	977	724	0
800	606	0	1023	598	0
924	606	0	1023	422	0
