3000	1	0.5425	0.1993
3050	1	0.5514	0.2078
3100	1	0.5595	0.2168
3150	1	0.569	0.2296
3200	1	0.5801	0.2357
3250	1	0.588	0.2473
3300	1	0.591	0.2533
3350	1	0.6083	0.2643
3400	1	0.6108	0.2733
3450	1	0.6183	0.2836
3500	1	0.627	0.2922
3550	1	0.6358	0.3041
3600	1	0.6303	0.308
3650	1	0.6448	0.3191
3700	1	0.6559	0.332
3750	1	0.6639	0.3416
3800	1	0.679	0.3563
3850	1	0.6707	0.3595
3900	1	0.687	0.3716
3950	1	0.6921	0.3806
4000	1	0.7001	0.3923
4050	1	0.7075	0.4038
4100	1	0.7115	0.4128
4150	1	0.7163	0.4225
4200	1	0.7241	0.4331
4250	1	0.7291	0.4441
4300	1	0.738	0.4543
4350	1	0.7409	0.4615
4400	1	0.747	0.4736
4450	1	0.7547	0.4847
4500	1	0.76	0.4931
4550	1	0.764	0.5013
4600	1	0.77	0.5138
4650	1	0.7764	0.5234
4700	1	0.7755	0.5316
4750	1	0.7853	0.544
4800	1	0.7875	0.5521
4850	1	0.7874	0.5639
4900	1	0.8035	0.5796
4950	1	0.8064	0.589
5000	1	0.816	0.6
5050	1	0.8245	0.6131
5100	1	0.8169	0.6157
5150	1	0.8259	0.6282
5200	1	0.8325	0.6425
5250	1	0.8308	0.6481
5300	1	0.8408	0.6578
5350	1	0.8439	0.6688
5400	1	0.8456	0.6746
5450	1	0.8498	0.6861
5500	1	0.857	0.6977
5550	1	0.8571	0.7073
5600	1	0.8684	0.72
5650	1	0.8686	0.7294
5700	1	0.8699	0.7372
5750	1	0.8801	0.7495
5800	1	0.8737	0.7547
5850	1	0.877	0.7642
5900	1	0.8838	0.7727
5950	1	0.8843	0.783
6000	1	0.8845	0.7901
6050	1	0.892	0.8027
6100	1	0.892	0.8027
6150	1	0.9072	0.8277
6200	1	0.8996	0.8275
6250	1	0.9039	0.8374
6300	1	0.9058	0.8476
6350	1	0.9114	0.8571
6400	1	0.9128	0.8662
6450	1	0.9153	0.8717
6500	1	0.9165	0.8819
6550	1	0.9164	0.8891
6600	1	0.9192	0.8934
6650	1	0.9201	0.8988
6700	1	0.9223	0.9087
6750	1	0.9282	0.9192
6800	1	0.9299	0.9255
6850	1	0.9317	0.9359
6900	1	0.9284	0.9377
6950	1	0.9362	0.9521
7000	1	0.9426	0.9589
7050	1	0.9395	0.9696
7100	1	0.9421	0.9774
7150	1	0.9432	0.9851
7200	1	0.9455	0.9931
7250	1	0.9462	1
7300	1	0.9464	1
7350	0.9668	0.933	1
7400	0.9716	0.9281	1
7450	0.9645	0.9218	1
7500	0.9595	0.9176	1
7550	0.9511	0.9129	1
7600	0.9458	0.9099	1
7650	0.9425	0.9107	1
7700	0.9406	0.9032	1
7750	0.9329	0.9004	1
7800	0.9286	0.8969	1
7850	0.9225	0.8926	1
7900	0.9222	0.89	1
7950	0.9069	0.8823	1
8000	0.9069	0.8823	1
